ID,peak_value,dis2peak,板温,现场温度,光照强度,转换效率,转换效率A,转换效率B,转换效率C,电压A,电压B,电压C,电流A,电流B,电流C,功率A,std_power,mean_power,功率B,功率C,平均功率,风速,风向,发电量
90,4681.89,0,9.81,-5.2,376,41.76,41.52,41.74,42.03,665.0,660.0,658.0,7.0,7.09,7.16,4655.0,1226.4210476885603,4330.038222222223,4679.4,4711.28,4681.89,1.7,276.0,9.896070605
91,4681.89,1,9.93,-5.4,376,41.59,41.02,41.54,42.19,661.0,659.0,660.0,6.96,7.07,7.17,4600.56,1336.9732753166056,4159.314628099173,4659.13,4732.2,4663.96,2.6,268.0,9.820113595
92,4681.89,2,9.93,-5.3,376,41.57,41.2,41.49,42.01,663.0,660.0,658.0,6.97,7.05,7.16,4621.11,1362.5665293465029,4175.943937823834,4653.0,4711.28,4661.8,2.1,282.0,9.838550081000001
93,4681.89,3,10.33,-5.4,374,41.66,41.48,41.34,42.17,661.0,656.0,658.0,7.01,7.04,7.16,4633.61,1372.2108293945319,4161.931783783783,4618.24,4711.28,4654.38,1.7,270.0,9.854280031
94,4681.89,4,10.31,-4.9,375,41.64,41.25,41.48,42.19,662.0,659.0,659.0,6.98,7.05,7.17,4620.76,1352.231893979354,4148.84635359116,4645.95,4725.03,4663.91,3.1,280.0,9.837433322999999
97,4681.89,7,10.05,-5.0,374,41.62,41.23,41.51,42.11,663.0,660.0,660.0,6.94,7.02,7.12,4601.22,1413.145230512694,4057.9109444444443,4633.2,4699.2,4644.54,2.2,278.0,9.801534641
99,4681.89,9,9.74,-5.0,373,41.76,41.27,41.68,42.33,663.0,661.0,661.0,6.92,7.01,7.12,4587.96,1419.5559337023128,3992.315000000001,4633.61,4706.32,4642.63,3.3,243.0,9.775180263
101,4681.89,11,9.95,-4.7,370,42.16,41.99,41.98,42.52,663.0,661.0,661.0,6.99,7.01,7.1,4634.37,1442.0153944211356,3959.901888888888,4633.61,4693.1,4653.69,2.7,270.0,9.831032516
105,4681.89,15,9.64,-4.5,362,42.47,42.1,42.48,42.84,663.0,664.0,661.0,6.85,6.9,6.99,4541.55,1443.2042320950954,3868.1148333333335,4581.6,4620.39,4581.18,2.5,253.0,9.665020988
106,4681.89,16,10.01,-4.7,358,42.45,42.15,42.52,42.7,663.0,664.0,660.0,6.79,6.84,6.91,4501.77,1439.7571592942065,3852.478722222223,4541.76,4560.6,4534.71,2.2,268.0,9.595369521
113,4681.89,23,9.35,-4.0,341,42.93,42.51,42.72,43.57,668.0,664.0,664.0,6.46,6.53,6.66,4315.28,1488.963618265063,3688.299111111111,4335.92,4422.24,4357.81,3.8,268.0,9.202731194
114,4681.89,24,9.3,-4.0,339,43.24,42.91,43.04,43.77,667.0,664.0,665.0,6.49,6.54,6.64,4328.83,1463.7037479410044,3666.8711111111115,4342.56,4415.6,4362.33,2.2,258.0,9.223527059
115,4681.89,25,8.93,-4.3,336,43.35,43.01,43.02,44.02,669.0,665.0,666.0,6.42,6.46,6.6,4294.98,1467.2822698016412,3648.4732777777776,4295.9,4395.6,4328.83,3.0,277.0,9.145244612
117,4681.89,27,8.26,-3.5,330,44.17,43.63,44.1,44.78,667.0,668.0,670.0,6.4,6.46,6.54,4268.8,1463.6460406556089,3598.576222222222,4315.28,4381.8,4321.96,4.2,277.0,9.101057397
119,4681.89,29,7.68,-4.1,324,44.6,44.37,44.65,44.79,673.0,673.0,671.0,6.32,6.36,6.4,4253.36,1459.4353413861718,3547.8445000000006,4280.28,4294.4,4276.01,4.6,274.0,9.016137292
122,4681.89,32,7.03,-3.9,316,44.7,44.22,44.58,45.3,673.0,674.0,673.0,6.13,6.17,6.28,4125.49,1449.0633471723113,3473.0386666666664,4158.58,4226.44,4170.17,5.9,288.0,8.799822703
123,4681.89,33,6.76,-3.9,309,45.68,45.11,45.62,46.3,675.0,675.0,674.0,6.09,6.16,6.26,4110.75,1475.6605631270131,3426.638333333333,4158.0,4219.24,4162.66,5.8,275.0,8.772716236
124,4681.89,34,6.76,-3.7,300,46.51,46.45,46.24,46.85,676.0,674.0,674.0,6.08,6.07,6.15,4110.08,1467.8950107221806,3388.291388888889,4091.18,4145.1,4115.45,3.1,283.0,8.686780694
125,4681.89,35,6.78,-4.1,298,45.79,45.59,45.55,46.25,678.0,674.0,673.0,5.91,5.94,6.04,4006.98,1437.9953826211895,3372.635833333334,4003.56,4064.92,4025.15,4.9,277.0,8.500604594
126,4681.89,36,6.57,-3.7,290,46.17,45.41,46.02,47.08,675.0,677.0,674.0,5.75,5.81,5.97,3881.25,1436.4387494914386,3323.1965000000005,3933.37,4023.78,3946.13,3.9,271.0,8.305984672000001
127,4681.89,37,6.5,-3.7,287,46.89,46.58,46.92,47.17,678.0,676.0,675.0,5.81,5.87,5.91,3939.18,1406.4302434217957,3333.190893854748,3968.12,3989.25,3965.52,5.6,258.0,8.369689493
131,4681.89,41,5.81,-3.5,274,47.84,47.46,47.88,48.19,679.0,679.0,675.0,5.63,5.68,5.75,3822.77,1346.7434587169703,3233.1788268156424,3856.72,3881.25,3853.58,5.0,281.0,8.129785602
133,4681.89,43,5.56,-3.8,267,48.41,48.08,48.21,48.95,683.0,680.0,677.0,5.52,5.56,5.67,3770.16,1337.889742117092,3170.28592178771,3780.8,3838.59,3796.52,5.1,279.0,8.014506561000001
134,4681.89,44,5.56,-3.8,267,48.41,48.08,48.21,48.95,683.0,680.0,677.0,5.52,5.56,5.67,3770.16,1345.4101398637774,3105.0838547486032,3780.8,3838.59,3796.52,5.1,279.0,8.014506561000001
136,4681.89,46,5.78,-3.3,254,49.57,49.53,49.48,49.69,681.0,679.0,677.0,5.43,5.44,5.48,3697.83,1316.1916454124116,3019.499553072626,3693.76,3709.96,3700.52,4.4,266.0,7.8236311610000016
141,4681.89,51,5.29,-3.3,236,50.68,50.11,50.16,51.77,683.0,681.0,679.0,5.08,5.1,5.28,3469.64,1294.4118768833555,2828.5543016759775,3473.1,3585.12,3509.29,3.8,267.0,7.408896095
145,4681.89,55,4.83,-3.4,203,55.05,54.86,54.74,55.55,684.0,681.0,684.0,4.77,4.78,4.83,3262.68,1227.7439983706847,2644.6090395480223,3255.18,3303.72,3273.86,5.0,281.0,6.968055445
147,4681.89,57,4.56,-3.2,195,55.86,55.41,55.69,56.49,683.0,682.0,683.0,4.63,4.66,4.72,3162.29,1232.0370089986584,2546.793446327684,3178.12,3223.76,3188.06,3.3,278.0,6.7697566239999984
149,4681.89,59,4.53,-3.2,180,58.56,58.43,58.43,58.82,684.0,684.0,684.0,4.5,4.5,4.53,3078.0,1208.1550322950125,2433.534318181818,3078.0,3098.52,3084.84,3.7,274.0,6.5698533060000015
150,4681.89,60,4.45,-3.2,177,58.71,58.47,58.26,59.4,685.0,681.0,682.0,4.42,4.43,4.51,3027.7,1208.3337893321693,2382.2504545454544,3016.83,3075.82,3040.12,2.8,280.0,6.47683247
156,4681.89,66,2.7,-3.4,133,67.89,67.25,67.76,68.67,688.0,686.0,688.0,3.78,3.82,3.86,2600.64,1139.0801858634684,2072.5679310344826,2620.52,2655.68,2625.61,3.6,277.0,5.563532672000001
157,4681.89,67,2.31,-3.4,126,69.74,69.21,69.49,70.52,690.0,689.0,688.0,3.67,3.69,3.75,2532.3,1107.918290632988,2033.5681502890175,2542.41,2580.0,2551.57,4.7,259.0,5.4039545439999985
158,4681.89,68,1.85,-3.4,124,69.01,67.86,68.05,71.12,695.0,693.0,691.0,3.51,3.53,3.7,2439.45,1091.003527396372,1980.479942196532,2446.29,2556.7,2480.81,3.8,250.0,5.20086023
160,4681.89,70,1.47,-3.4,100,79.25,79.21,78.75,79.8,695.0,693.0,698.0,3.3,3.29,3.31,2293.5,1071.825224697801,1880.5612280701753,2279.97,2310.38,2294.62,3.8,275.0,4.828878312
164,4681.89,74,1.91,-3.4,20,333.15,320.97,331.95,346.53,692.0,695.0,693.0,2.69,2.77,2.9,1861.48,1010.9357026211428,1685.1381176470586,1925.15,2009.7,1932.11,2.7,263.0,3.943035918
166,4681.89,76,1.56,-3.4,16,378.57,375.77,377.26,382.67,691.0,691.0,690.0,2.52,2.53,2.57,1741.32,998.1600989981908,1537.4491812865494,1748.23,1773.3,1754.28,2.5,243.0,3.581687917
169,4681.89,79,0.74,-3.5,14,388.89,390.22,388.51,387.95,692.0,692.0,691.0,2.28,2.27,2.27,1577.76,952.1519105168742,1454.6336419753084,1570.84,1568.57,1572.39,3.3,264.0,3.186497178
170,4681.89,80,0.37,-3.5,12,431.22,436.58,425.85,431.22,690.0,692.0,691.0,2.19,2.13,2.16,1511.1,944.153660119431,1393.8872392638036,1473.96,1492.56,1492.54,2.4,282.0,2.981897919
171,4681.89,81,-0.43,-3.6,11,420.39,411.56,407.8,441.79,689.0,690.0,692.0,1.89,1.87,2.02,1302.21,922.0740851803798,1358.8061249999998,1290.3,1397.84,1330.12,3.1,279.0,2.570408936
172,4681.89,82,-1.02,-3.8,9,478.22,481.31,478.65,474.71,687.0,687.0,689.0,1.81,1.8,1.78,1243.47,916.8329723268387,1298.1935443037976,1236.6,1226.42,1235.5,2.8,285.0,2.373424966
173,4681.89,83,-1.56,-3.9,8,517.01,510.99,517.75,522.27,689.0,690.0,692.0,1.7,1.72,1.73,1171.3,892.3844391388959,1251.3252564102563,1186.8,1197.16,1185.09,2.9,271.0,2.239783042
174,4681.89,84,-2.31,-4.0,7,544.62,553.69,541.79,538.37,688.0,686.0,686.0,1.61,1.58,1.57,1107.68,878.8320490309687,1201.5773548387097,1083.88,1077.02,1089.53,2.0,266.0,2.049708452
175,4681.89,85,-3.47,-4.0,6,550.05,509.76,540.56,599.83,691.0,689.0,683.0,1.26,1.34,1.5,870.66,858.2808886598292,1192.3961224489794,923.26,1024.5,939.47,2.4,266.0,1.6036764609999998
176,4681.89,86,-4.77,-4.1,3,756.45,250.85,1006.33,1012.18,688.0,690.0,683.0,0.31,1.24,1.26,213.28,834.6584742803808,1190.9323776223778,855.6,860.58,643.15,2.9,266.0,0.625154066
178,4681.89,88,-6.41,-4.4,1,535.52,474.03,471.9,660.66,668.0,665.0,665.0,0.2,0.2,0.28,133.6,795.386768364036,1152.9797727272728,133.0,186.2,150.93,2.1,262.0,0.146529193
190,4681.89,100,0.01,0.1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,594.0036242616005,817.294794520548,0.0,0.0,0.0,0.1,1.0,0.379993053
199,4681.89,109,-6.1,-4.6,15,103.1,86.13,41.35,181.84,486.0,673.0,681.0,0.75,0.26,1.13,364.5,665.254727001789,772.1730769230768,174.98,769.53,436.34,4.5,275.0,0.564661106
202,4435.85,106,-5.46,-4.4,27,87.88,106.34,33.3,124.01,688.0,687.0,686.0,1.18,0.37,1.38,811.84,630.7317783260758,744.2513157894736,254.19,946.68,670.9,3.9,265.0,1.268156273
204,4435.85,104,-4.52,-3.9,57,59.5,78.46,20.63,79.41,697.0,695.0,694.0,1.82,0.48,1.85,1268.54,604.9505206654468,775.1861111111112,333.6,1283.9,962.01,5.0,279.0,2.060996794
205,4435.85,103,-3.83,-3.9,57,63.23,81.0,25.48,83.2,702.0,700.0,695.0,1.87,0.59,1.94,1312.74,625.125183501241,800.7486885245901,413.0,1348.3,1024.68,4.8,273.0,2.195669396
206,4435.85,102,-3.45,-3.7,60,50.02,62.16,25.01,62.89,694.0,689.0,693.0,1.53,0.62,1.55,1061.82,563.7167744466113,765.2869841269841,427.18,1074.15,854.38,4.2,274.0,1.7688502430000002
208,4435.85,100,-2.95,-3.5,62,52.29,65.44,34.59,56.83,697.0,695.0,693.0,1.66,0.88,1.45,1157.02,594.0036242616005,817.294794520548,611.6,1004.85,924.49,5.1,281.0,1.97850552
214,4435.85,94,-3.02,-2.9,75,40.3,36.57,39.34,44.98,692.0,701.0,697.0,1.13,1.2,1.38,781.96,656.5968442302667,933.5534234234234,841.2,961.86,861.67,4.3,280.0,1.483913814
215,4435.85,93,-2.85,-2.9,81,41.25,39.52,40.54,43.69,697.0,699.0,701.0,1.31,1.34,1.44,913.07,695.2750088371425,965.598392857143,936.66,1009.44,953.06,5.4,266.0,1.781251607
216,4435.85,92,-2.48,-2.8,81,41.37,40.31,40.78,43.02,696.0,704.0,696.0,1.34,1.34,1.43,932.64,735.9406693453319,981.8633620689654,943.36,995.28,957.09,5.7,270.0,1.828329805
218,4435.85,90,-2.21,-2.6,97,38.9,37.76,38.12,40.83,698.0,700.0,699.0,1.5,1.51,1.62,1047.0,745.1047413931517,1113.3253333333334,1057.0,1132.38,1078.79,5.0,280.0,2.039709824
219,4435.85,89,-2.02,-2.6,100,37.34,38.25,35.57,38.2,697.0,697.0,696.0,1.57,1.46,1.57,1094.29,758.090918811499,1146.3981451612906,1017.62,1092.72,1068.21,5.0,281.0,2.219470904
222,4435.85,86,-1.77,-2.4,111,33.56,32.58,34.07,34.04,695.0,694.0,689.0,1.49,1.56,1.57,1035.55,834.6584742803808,1190.9323776223778,1082.64,1081.73,1066.64,5.2,277.0,2.042072444
223,4435.85,85,-1.62,-2.4,118,33.89,34.38,33.78,33.52,700.0,692.0,691.0,1.66,1.65,1.64,1162.0,858.2808886598292,1192.3961224489794,1141.8,1133.24,1145.68,2.9,276.0,2.198234446
224,4435.85,84,-1.52,-2.4,121,32.25,31.89,32.53,32.34,691.0,692.0,688.0,1.6,1.63,1.63,1105.6,878.8320490309687,1201.5773548387097,1127.96,1121.44,1118.33,4.4,277.0,2.148645083
226,4435.85,82,-1.29,-2.4,124,30.8,30.55,30.75,31.1,692.0,692.0,687.0,1.57,1.58,1.61,1086.44,916.8329723268387,1298.1935443037976,1093.36,1106.07,1095.29,4.6,280.0,2.11960019
227,4435.85,81,-1.27,-2.4,125,31.45,31.03,31.13,32.19,691.0,689.0,691.0,1.61,1.62,1.67,1112.51,922.0740851803798,1358.8061249999998,1116.18,1153.97,1127.55,2.4,285.0,2.131764344
228,4435.85,80,-1.21,-2.4,120,29.62,29.98,29.18,29.69,688.0,688.0,686.0,1.5,1.46,1.49,1032.0,944.153660119431,1393.8872392638036,1004.48,1022.14,1019.54,3.3,271.0,1.962651553
229,4435.85,79,-1.16,-2.4,120,28.65,28.57,28.45,28.93,688.0,685.0,687.0,1.43,1.43,1.45,983.84,952.1519105168742,1454.6336419753084,979.55,996.15,986.51,2.8,280.0,1.863616882
231,4435.85,77,-1.1,-2.3,123,27.72,27.32,27.36,28.47,684.0,685.0,679.0,1.41,1.41,1.48,964.44,982.2772663382145,1518.3693529411764,965.85,1004.92,978.4,2.5,281.0,1.834492721
232,4435.85,76,-1.04,-2.3,128,27.56,26.97,27.41,28.3,688.0,685.0,684.0,1.44,1.47,1.52,990.72,998.1600989981908,1537.4491812865494,1006.95,1039.68,1012.45,2.4,272.0,1.914724975
233,4435.85,75,-0.96,-2.2,133,28.26,28.7,27.23,28.84,685.0,684.0,684.0,1.6,1.52,1.61,1096.0,1004.6047681772699,1601.4910526315791,1039.68,1101.24,1078.97,3.7,279.0,2.09345169
234,4435.85,74,-0.75,-2.1,133,28.31,28.4,28.36,28.16,687.0,686.0,681.0,1.58,1.58,1.58,1085.46,1010.9357026211428,1685.1381176470586,1083.88,1075.98,1081.77,4.0,274.0,2.103890489
236,4435.85,72,-0.83,-2.1,133,26.79,26.43,26.65,27.27,687.0,688.0,681.0,1.47,1.48,1.53,1009.89,1058.4229651433948,1788.1521052631579,1018.24,1041.93,1023.35,2.7,276.0,1.942338044
238,4435.85,70,-0.87,-2.0,133,26.01,25.61,25.75,26.68,684.0,683.0,684.0,1.43,1.44,1.49,978.12,1071.825224697801,1880.5612280701753,983.52,1019.16,993.6,2.4,299.0,1.839847502
239,4435.85,69,-0.87,-2.1,135,26.4,26.22,26.46,26.5,687.0,684.0,685.0,1.48,1.5,1.5,1016.76,1087.688338794633,1920.8887283236995,1026.0,1027.5,1023.42,3.8,274.0,1.963589185
240,4435.85,68,-0.81,-2.0,138,26.42,25.92,26.34,27.0,685.0,687.0,686.0,1.5,1.52,1.56,1027.5,1091.003527396372,1980.479942196532,1044.24,1070.16,1047.3,3.0,293.0,1.959526617
245,4435.85,63,0.22,-1.8,155,28.85,29.58,28.48,28.47,692.0,688.0,684.0,1.91,1.85,1.86,1321.72,1150.2948372089043,2248.1663218390804,1272.8,1272.24,1288.92,2.5,276.0,2.580647791
247,4435.85,61,0.47,-1.9,154,26.8,26.25,26.9,27.25,686.0,687.0,684.0,1.7,1.74,1.77,1166.2,1179.1905424381903,2348.9205714285713,1195.38,1210.68,1190.75,3.6,276.0,2.342432564
248,4435.85,60,0.51,-2.0,154,26.65,26.51,26.9,26.55,685.0,683.0,682.0,1.72,1.75,1.73,1178.2,1208.3337893321693,2382.2504545454544,1195.25,1179.86,1184.44,3.6,276.0,2.352521395
249,4435.85,59,0.66,-2.0,158,26.78,26.47,27.15,26.73,686.0,688.0,685.0,1.76,1.8,1.78,1207.36,1208.1550322950125,2433.534318181818,1238.4,1219.3,1221.69,3.7,274.0,2.43542457
253,4435.85,55,0.93,-1.9,159,26.96,26.65,26.76,27.47,688.0,687.0,686.0,1.78,1.79,1.84,1224.64,1227.7439983706847,2644.6090395480223,1229.73,1262.24,1238.87,3.0,279.0,2.46100996
254,4435.85,54,0.87,-1.9,159,26.52,26.06,26.02,27.48,684.0,683.0,686.0,1.75,1.75,1.84,1197.0,1242.913143768829,2686.979213483146,1195.25,1262.24,1218.16,4.3,286.0,2.4356440580000003
257,4435.85,51,1.26,-1.8,177,26.57,27.0,26.22,26.48,688.0,685.0,685.0,2.01,1.96,1.98,1382.88,1294.4118768833555,2828.5543016759775,1342.6,1356.3,1360.59,3.4,269.0,2.787519269
